((96, 16), 0.090536521133538)
((96, 48), 0.1933480953608966)
((96, 73), 0.606233335935614)
((96, 49), 0.6076827478375675)
((96, 82), 0.31026691072887225)
((96, 50), 0.4719491371536706)
((96, 10), 0.4540069873376438)
((96, 83), 0.021381902738233288)
((96, 12), 0.22913786988150076)
((96, 47), 0.2080734368050552)
((56, 16), 0.21124348835517753)
((56, 0), 0.3320412504960242)
((56, 40), -0.020279191186782702)
((56, 57), 0.05221780180433799)
((56, 33), 0.43157193020896906)
((56, 58), 0.8526960497942574)
((56, 2), 0.8210872228643871)
((56, 59), 0.3277527587181893)
((56, 91), 0.03553181945326711)
((56, 99), 0.28974075852111314)
((56, 4), 0.059613973224479644)
((56, 21), 0.5824704207068392)
((56, 29), 0.049718823762046976)
((56, 5), 0.0020529215587308525)
((56, 38), 0.3357869210759048)
((56, 78), 0.41007833952095946)
((56, 94), 0.37060007413169893)
((56, 23), 0.12581670001088358)
((56, 87), 0.004496882745464892)
((112, 48), 0.13548991406310218)
((112, 24), 0.44321422029437174)
((112, 89), 0.5266732917648898)
((112, 17), -0.0525837636251647)
((112, 82), 0.5170221963423314)
((112, 58), 0.5936303377807459)
((112, 10), 0.3960442313299856)
((112, 59), 0.8001668335343372)
((112, 44), 0.021828825558876386)
((112, 77), 0.5039379272575529)
((112, 85), 0.055544067703746425)
((112, 22), -0.05252608745078846)
((112, 30), 0.006421732693055543)
((112, 62), 0.49433466796697645)
((112, 78), 0.0713152052789604)
((112, 79), 0.2589889735805733)
((112, 23), 0.17914471103344098)
((120, 16), 0.10905766139614273)
((120, 8), -0.0030250847748914955)
((120, 73), 0.13131805247458647)
((120, 1), 0.47662920711167445)
((120, 17), 0.4735183567785075)
((120, 82), 0.30662899224924867)
((120, 2), -0.09626550137206938)
((120, 4), -0.09526882840664586)
((120, 44), 0.591715370407661)
((120, 77), 0.18252605052129398)
((120, 54), -0.07919328758341626)
((120, 38), 0.0417706716580876)
((120, 39), 0.10779651754839094)
((16, 40), 0.03187139994279928)
((16, 57), 0.005991832678823361)
((16, 9), -0.010837020294833216)
((16, 69), 0.2985950630578177)
((16, 39), 0.23330772156529284)
((16, 87), 0.005179289334088288)
((80, 64), 0.0704422729658189)
((80, 40), 0.30635496431636217)
((80, 17), 0.7760810795836975)
((80, 66), 0.2798586155140984)
((80, 74), 0.18777138620606393)
((80, 58), 0.014926021800480305)
((80, 26), 0.2615172149000735)
((80, 28), 0.44227395583982737)
((80, 44), 0.369396800316616)
((80, 21), 0.4944084000324879)
((80, 77), 0.00851526096957822)
((80, 29), 0.10139914074221607)
((80, 38), 0.07354522740146)
((80, 78), 0.06689429129925145)
((80, 23), 0.4212751841976056)
((48, 96), 0.40911413413536935)
((48, 16), 0.7057036466200153)
((48, 48), 0.33207220559987805)
((48, 24), 0.34322850134379984)
((48, 64), 0.03443879912021128)
((48, 40), 0.15251718991672283)
((48, 72), 0.8472488968529199)
((48, 65), 0.3409796796060334)
((48, 73), -0.027512916825123745)
((48, 17), 0.1302295711838885)
((48, 58), 0.40524897794166564)
((48, 67), 0.11554401332553824)
((48, 91), 0.3939155059005818)
((48, 44), 0.10354474858798096)
((48, 61), 0.6225607299078567)
((48, 29), 0.12750287623612735)
((48, 69), 0.3334877342655861)
((48, 22), 0.4356372416958083)
((48, 62), 0.34767354426266983)
((48, 70), 0.2216538108717362)
((48, 39), 0.34304235042093884)
((48, 47), 0.41918171219686107)
((48, 23), 0.13224461107119526)
((48, 87), 0.28690677615928817)
((128, 73), -0.0011305024021578264)
((128, 98), -0.0004004768551059204)
((128, 44), 0.01557593292616248)
((128, 77), 0.4750516032707574)
((104, 104), 0.03132556570840461)
((104, 105), 0.009159961595259059)
((104, 59), 0.353629216230122)
((104, 61), 0.3557347041536672)
((104, 77), 0.45843732332108184)
((104, 29), 0.8734139416283149)
((104, 54), 0.3134111511391944)
((104, 38), 0.02641988531728609)
((104, 94), -0.022725948615319902)
((104, 87), 0.4635758542294307)
((32, 16), 0.4430977052619166)
((32, 24), 0.23911070040742877)
((32, 72), 0.6131204548745802)
((32, 8), 0.0466549016462281)
((32, 88), 0.4309130718608873)
((32, 73), 0.4636927456386595)
((32, 89), 0.039604302491758114)
((32, 17), 0.2506076715592931)
((32, 49), 0.5329198501419676)
((32, 58), 0.08460441040200306)
((32, 10), 0.3705587037022684)
((32, 2), 0.24482776648848092)
((32, 59), 0.3790007140050473)
((32, 27), 0.32128580607355656)
((32, 3), 0.24954927567761526)
((32, 91), 0.4679381851827811)
((32, 4), 0.032389559511438654)
((32, 76), 0.1541546260406017)
((32, 28), 0.4561865558764649)
((32, 44), 0.211013305175979)
((32, 68), 0.165646022972199)
((32, 13), 0.2721141539071691)
((32, 77), 0.2535559678180811)
((32, 29), 0.3178350296409487)
((32, 45), 0.07767142351643694)
((32, 22), 0.4231104504417118)
((32, 54), 0.5103466891732988)
((32, 30), 0.3313384356606198)
((32, 38), 0.38905633563791864)
((32, 78), -0.05849624376931095)
((32, 71), 0.0031267731448933536)
((32, 23), 0.5847402353614856)
((32, 7), 0.7640965997142936)
((0, 96), 0.23139096753311028)
((0, 56), 0.3714336924748993)
((0, 16), 0.296437058582126)
((0, 32), 0.45856260317648)
((0, 0), 0.6099849107210193)
((0, 64), 0.45518499903456816)
((0, 40), 0.1085540841946449)
((0, 97), 0.01776022940756064)
((0, 73), 0.28738079001369865)
((0, 57), 0.29393724885698463)
((0, 33), 0.26315884356992836)
((0, 1), 0.28481803250013626)
((0, 89), 0.33992393971718765)
((0, 17), 0.12264760409989023)
((0, 66), 0.5266257349254846)
((0, 74), 0.2896814088919175)
((0, 58), 0.43170230737192244)
((0, 26), 0.5870310867553732)
((0, 59), 0.48582700300641657)
((0, 35), 0.231211317223616)
((0, 27), 0.26674711718576616)
((0, 75), 0.2648236104625127)
((0, 67), 0.23147683171455716)
((0, 91), 0.4741177384744018)
((0, 99), 0.5330906180008795)
((0, 84), 0.483238406433105)
((0, 28), 0.402977054515642)
((0, 44), 0.3422980156628293)
((0, 21), 0.43517986512732)
((0, 77), 0.31946670579915326)
((0, 29), 0.22873712854028103)
((0, 22), 0.2601016822383521)
((0, 30), 0.24096496268341316)
((0, 70), 0.06771369145552045)
((0, 38), 0.38356336197522767)
((0, 78), 0.3056022408999992)
((0, 39), 0.2688937455543732)
((0, 47), 0.2781076754363785)
((0, 55), 0.27027717358367115)
((0, 79), 0.0988374184470322)
((0, 23), 0.2721670868125556)
((0, 31), 0.3629497236650479)
((0, 87), 0.11204442295310446)
((24, 16), 0.3258598886323857)
((24, 48), 0.2544703821384042)
((24, 0), 0.6347553210698537)
((24, 40), 0.17737349125927582)
((24, 72), 0.18331368444296636)
((24, 8), 0.18315143428603786)
((24, 73), 0.08400035785189452)
((24, 57), 0.04891438289766836)
((24, 1), 0.5271421116520849)
((24, 89), 0.6048908634288561)
((24, 17), 0.011793524166861302)
((24, 82), 0.2877213935837364)
((24, 66), 0.06132756563898267)
((24, 50), 0.34793673098689637)
((24, 18), 0.34925398405242736)
((24, 26), 0.31967784550005585)
((24, 10), 0.4936013889859361)
((24, 2), 0.007463431056485226)
((24, 83), 0.5444224599868273)
((24, 3), 0.016038718483026626)
((24, 91), 0.6625412448549556)
((24, 4), 0.15858548708183606)
((24, 12), 0.11273742351799454)
((24, 60), 0.030226484231433592)
((24, 44), 0.4106207365541228)
((24, 101), 0.026744929454178834)
((24, 77), 0.6319006474106509)
((24, 29), 0.1567223187690951)
((24, 69), 0.19753763183267453)
((24, 85), 0.6433090312626233)
((24, 46), 0.00011369550932049943)
((24, 30), 0.6907581555030908)
((24, 14), 0.30237071443893526)
((24, 62), 0.03551664891913847)
((24, 102), 0.48166828091572833)
((24, 38), 0.41669465596922967)
((24, 39), 0.06463015114280733)
((24, 47), 0.09933688680747454)
((24, 63), 0.011814152315765158)
((24, 87), -0.07654777613273)
((64, 48), 0.22373177595651023)
((64, 32), 0.09709590952224678)
((64, 0), 0.38616990102394844)
((64, 24), 0.2549828281140009)
((64, 40), 0.018775972280293596)
((64, 8), 0.3232689030843358)
((64, 73), 0.29532985037635073)
((64, 57), 0.18398760896048794)
((64, 33), 0.18856239537380481)
((64, 89), 0.4033566038328418)
((64, 17), 0.2865197752730069)
((64, 9), 0.17968774030579882)
((64, 82), 0.3630361319654244)
((64, 50), 0.1373456771962325)
((64, 42), 0.3906343614943134)
((64, 106), 0.4834528209016855)
((64, 10), 0.27828128431340127)
((64, 3), 0.002888201203014862)
((64, 91), 0.38812290132762556)
((64, 36), 0.3607957037142226)
((64, 12), 0.13226630157466096)
((64, 44), 0.21724277760543448)
((64, 68), 0.049546984720689746)
((64, 13), 0.3182626824104095)
((64, 61), 0.7636322499583478)
((64, 77), 0.17131776025729972)
((64, 85), 0.22797895770421223)
((64, 46), 0.01815728525812005)
((64, 62), 0.3631395562703809)
((64, 102), 0.08809903362653082)
((64, 6), 0.48633686933772124)
((64, 70), 0.3028942521678729)
((64, 94), 0.25722233069349376)
((64, 39), 0.1680689889069113)
((64, 47), 0.2053666480054531)
((64, 55), 0.269342566636092)
((64, 95), 0.0)
((64, 23), 0.46794666750825137)
((64, 7), 0.3224607174313461)
((64, 87), 0.3639037161290388)
((40, 96), 0.20421107141344408)
((40, 16), 0.4034257696297983)
((40, 0), 0.2600396405249748)
((40, 24), 0.16609692949301383)
((40, 64), 0.078772336211577)
((40, 8), 0.12862631732480667)
((40, 65), 0.6169831870437021)
((40, 57), 0.10833331998774676)
((40, 33), 0.4124041392087474)
((40, 1), 0.3319253884132163)
((40, 89), 0.35565026330766003)
((40, 17), 0.1935582918169106)
((40, 49), 0.3276186094771739)
((40, 50), 0.2575864168691023)
((40, 58), 0.17728956318334999)
((40, 26), 0.5548428325142299)
((40, 2), 0.4313662564085011)
((40, 19), 0.06784997335769524)
((40, 59), 0.12888606761803273)
((40, 27), 0.09128457716870247)
((40, 99), 0.3448293747148426)
((40, 52), 0.21696748260562215)
((40, 4), 0.02564902303176886)
((40, 28), 0.6225235849033308)
((40, 92), 0.11281333981053412)
((40, 44), 0.24860712847694347)
((40, 21), 0.3561250382397326)
((40, 53), 0.27973719484502174)
((40, 29), 0.0021174253138829813)
((40, 93), 0.7431787536295485)
((40, 45), 0.34222967351433836)
((40, 69), 0.41210606828763624)
((40, 22), 0.5119805502633428)
((40, 54), -0.01950342253386561)
((40, 46), 0.3034386598003769)
((40, 14), 0.5320939510445449)
((40, 70), 0.2026829251289367)
((40, 47), 0.5007993474159316)
((40, 55), 0.11933355558107853)
((40, 79), 0.6002633595620352)
((40, 23), 0.08337214486174627)
((40, 87), 0.06638872572922178)
((72, 16), 0.6683149159105062)
((72, 40), 0.1732216083716807)
((72, 8), 0.25694891882159565)
((72, 105), 0.4875302392221666)
((72, 57), 0.37552445154073966)
((72, 17), 0.5343816023604963)
((72, 82), 0.16906003778701284)
((72, 74), 0.5126856511651148)
((72, 18), 0.48079246344397114)
((72, 58), 0.5704034229559071)
((72, 10), 0.26210060932167767)
((72, 59), 0.08441539107826354)
((72, 67), 0.4987394153824488)
((72, 91), 0.06445291302003137)
((72, 99), 0.6259249152625294)
((72, 4), 0.6104976062268955)
((72, 28), 0.009162346158428458)
((72, 12), 0.17181983641062215)
((72, 61), 0.5835762281859997)
((72, 85), 0.3985865756645386)
((72, 5), 0.03987657784486964)
((72, 22), 0.6853374401506677)
((72, 30), 0.391555039356677)
((72, 70), 0.6322844970371808)
((72, 38), 0.01372755662189451)
((72, 86), -0.007829957568225257)
((72, 78), 0.8122384374167688)
((72, 39), 0.6687737206622434)
((72, 23), 0.05161342813641456)
((72, 87), 0.45325789296902663)
((8, 24), 0.2330621704421317)
((8, 64), 0.29345532376607186)
((8, 65), -0.026398299224001942)
((8, 57), 0.3020670071703254)
((8, 33), 0.07036642996843695)
((8, 9), 0.024850244281015454)
((8, 49), -0.0024807260065526915)
((8, 58), 0.45660958902034376)
((8, 10), 0.08547775853612266)
((8, 11), 0.43846179555004583)
((8, 35), 0.015887376863112368)
((8, 27), 0.15045792316022893)
((8, 28), 0.1923547174410291)
((8, 12), 0.16173198028297942)
((8, 60), 0.3721101128229979)
((8, 77), -0.017733697704507806)
((8, 29), 0.3145984029325145)
((8, 69), 0.06095571578885284)
((8, 70), 0.021689446064589918)
((8, 94), 0.3886725476531148)
((8, 15), 0.42954514929152077)
((8, 23), 0.32942505082949286)
((8, 7), 0.16472299589118622)
((136, 8), 0.0)
((88, 8), 0.004001113190982085)
